playerID,name,position,age,PER,usage%,gp,yr,draftyr
catchha01,Harvey Catchings,CENTER,26,11.2,12.5,61,1978,1976
choneji01,Jim Chones,CENTER,25,16.1,0.0,72,1975,1975
drewjo01,John Drew,SMALL FORWARD,21,25.3,0.0,77,1976,1975
hawesst01,Steve Hawes,CENTER,24,16.7,0.0,55,1975,1975
hendeto01,Tom Henderson,POINT GUARD,25,14.95,0.0,87,1977,1975
johnsmi01,Mickey Johnson,POWER FORWARD,27,20.3,25.9,82,1980,1976
moneyer01,Eric Money,POINT GUARD,20,16.3,0.0,80,1976,1975
restake01,Kevin Restani,SMALL FORWARD,28,13.9,17.8,82,1980,1975
robintr01,Truck Robinson,POWER FORWARD,25,17.0,0.0,77,1977,1975
russeca02,Campy Russell,SMALL FORWARD,24,19.0,0.0,82,1976,1975
smithph01,Phil Smith,SHOOTING GUARD,23,18.4,0.0,82,1976,1975
stacoke01,Kevin Stacom,SHOOTING GUARD,23,12.0,0.0,61,1975,1975
walkefo01,Foots Walker,POINT GUARD,25,16.0,0.0,62,1977,1975
waltobi01,Bill Walton,CENTER,25,24.8,24.5,58,1978,1976
wedmasc01,Scott Wedman,SMALL FORWARD,26,16.9,19.6,73,1979,1975
wilkeja01,Jamaal Wilkes,SMALL FORWARD,27,18.0,24.5,81,1981,1975
wintebr01,Brian Winters,SHOOTING GUARD,24,16.6,0.0,78,1977,1975
adamsal01,Alvan Adams,CENTER,21,21.7,0.0,80,1976,1976
bosweto01,Tom Boswell,POWER FORWARD,25,14.6,16.0,79,1979,1977
bridgju01,Junior Bridgeman,SHOOTING GUARD,25,18.8,25.8,82,1979,1976
bryanjo01,Joe Bryant,POWER FORWARD,22,14.1,0.0,61,1977,1976
dawkida01,Darryl Dawkins,CENTER,29,19.5,23.0,51,1986,1977
fernser01,Eric Fernsten,POWER FORWARD,26,14.4,18.1,56,1980,1980
forddo01,Don Ford,POWER FORWARD,24,11.7,0.0,82,1977,1976
freewo01,World B. Free,SHOOTING GUARD,26,22.7,32.7,68,1980,1976
greveke01,Kevin Grevey,SMALL FORWARD,24,15.5,25.2,81,1978,1976
grossbo01,Bob Gross,SMALL FORWARD,24,16.9,18.0,72,1978,1976
hollili01,Lionel Hollins,POINT GUARD,23,15.6,0.0,76,1977,1976
kelleri01,Rich Kelley,CENTER,25,19.9,19.2,80,1979,1976
lambejo01,John Lambert,POWER FORWARD,28,16.3,25.75,46,1981,1976
mcelrji01,Jim McElroy,POINT GUARD,25,16.2,21.0,79,1979,1976
mcginge01,George McGinnis,POWER FORWARD,25,21.3,0.0,77,1976,1976
mcmilto01,Tom McMillen,CENTER,27,14.2,18.8,53,1980,1976
meriwjo01,Joe Meriweather,CENTER,23,14.5,0.0,74,1977,1976
robinbi01,Bill Robinzine,POWER FORWARD,26,16.4,19.8,82,1979,1976
soberri01,Ricky Sobers,SHOOTING GUARD,24,16.5,0.0,79,1977,1976
willigu01,Gus Williams,POINT GUARD,28,21.8,28.5,80,1982,1976
willobi01,Bill Willoughby,SMALL FORWARD,18,13.8,0.0,62,1976,1976
bucknqu01,Quinn Buckner,POINT GUARD,25,16.5,20.4,67,1980,1977
busedo01,Don Buse,POINT GUARD,31,14.8,13.7,82,1982,1977
carrml01,M.L. Carr,SMALL FORWARD,28,16.3,18.9,80,1979,1977
dantlad01,Adrian Dantley,SMALL FORWARD,28,24.6,28.2,79,1984,1977
davisjo01,Johnny Davis,SHOOTING GUARD,27,16.8,21.9,53,1983,1977
dietrco01,Coby Dietrick,CENTER,30,13.9,13.6,76,1979,1977
douglle01,Leon Douglas,CENTER,23,13.6,19.5,79,1978,1977
dunlemi02,Mike Dunleavy,SHOOTING GUARD,27,17.3,21.8,82,2008,1979
elmorle01,Len Elmore,CENTER,25,12.5,14.6,69,1978,1978
englial01,Alex English,SMALL FORWARD,29,24.1,28.9,82,1983,1977
ervinju01,Julius Erving,SMALL FORWARD,31,25.9,28.1,81,1982,1977
galemi01,Mike Gale,SHOOTING GUARD,26,13.9,0.0,82,1977,1977
